Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
1063.1543400287628	11	-158.13951916312487	-7.48979668116991	68.7554079386712	-34.53934018677092	-374.45642767959845	20.0	0.0	1020	120240	-153.20389131852724	-7.240890968347022
1152.4448115825653	12	-155.3451020346819	-7.412197659468688	65.99234552239595	-44.53379711101543	-424.36322311869714	20.0	0.0	1020	130260	-164.92713247422395	-8.001257196212281
1241.5775768756866	13	-146.9146021989266	-6.961613869796545	67.88132495804408	-25.974392785510858	-387.92532356731203	20.0	0.0	1020	140280	-133.41789551494358	-5.950407420615981
1329.3423073291779	14	-144.85073388952577	-6.506311900244431	69.42670642690358	-25.668897226243754	-424.8638045304682	20.0	0.0	1020	150300	-153.17601347177663	-6.936662169852599
1417.107707977295	15	-139.39613475554233	-6.302031133896092	62.48563942023303	-25.409271422090097	-361.1859505495639	20.0	0.0	1020	160320	-145.67073393323633	-6.62299500156844
1504.8562664985657	16	-151.01398280932767	-6.763238122080842	68.4843659269472	-23.03098838159252	-396.24351701883273	20.0	0.0	1020	170340	-117.82123396454531	-5.631924730895635
1593.8365921974182	17	-135.8490029493161	-5.993175736083156	65.91847897246559	-22.20727699421981	-382.220138583813	20.0	0.0	1020	180360	-136.04671390644447	-5.9896584350787005
1681.41259431839	18	-132.42121928155922	-5.801572063824829	62.041763106949055	-23.501826126694475	-386.5691333481037	20.0	0.0	1020	190380	-130.00043564623545	-5.935925063885826
1771.2308628559113	19	-139.41166586030909	-5.948165082215023	59.29383112805751	-16.89126544904923	-407.0282323948368	20.0	0.0	1020	200400	-140.92792079057514	-6.568543414721335
1860.1260395050049	20	-136.45964991577026	-5.889413113757346	64.69953830702413	-24.19432437505262	-467.37426838333334	20.0	0.0	1020	210420	-113.03214433134225	-5.142245704885299
1947.1692864894867	21	-130.55876299538116	-5.510455664417917	55.83348117797813	-32.26666551901785	-334.74499472049354	20.0	0.0	1020	220440	-126.96555852345578	-4.574980479331761
2036.3134751319885	22	-136.61142796695836	-5.814894324949593	60.17655540973978	-20.68412448455244	-351.4764062204446	20.0	0.0	1020	230460	-136.28060017910266	-5.15445421356964
2123.7245709896088	23	-126.67942710549451	-5.287074893703952	59.60565085850799	-24.74687792319278	-335.9745087527835	20.0	0.0	1020	240480	-183.7092889582948	-6.602386025445238
2212.888997554779	24	-119.47779239278712	-4.881182302676525	56.90647437062423	-18.308766607790414	-370.92179587313575	20.0	0.0	1020	250500	-111.08434527200458	-4.796142924213335
2300.597753763199	25	-131.57346122046505	-5.288203166843945	60.0949214073608	-24.775259747404842	-344.63152692158417	20.0	0.0	1020	260520	-134.69135480686768	-5.1187030129645095
2388.6415243148804	26	-127.03632571488662	-5.201520989720731	55.68913677269079	-28.983494749374373	-409.8759949939841	20.0	0.0	1020	270540	-133.45803497829047	-5.849425765509677
2476.967935562134	27	-132.05737264116848	-5.40308353402744	59.745054207792116	-19.23495157604447	-328.05908624530645	20.0	0.0	1020	280560	-140.76639036298545	-5.939010727881627
2564.9850096702576	28	-116.35541354714267	-4.936332336844326	53.0245434709929	-28.682232350157292	-337.67766608469736	20.0	0.0	1020	290580	-134.50725406068088	-5.1593955194156464
2653.557532787323	29	-126.91390844784503	-5.0400962910538825	60.52491787987796	-17.691594971407405	-369.1382135007452	20.0	0.0	1020	300600	-133.24257239631947	-4.709720949688839
2740.909138441086	30	-119.84553051039235	-4.8186184350630725	58.733563607197944	-23.206149644540506	-316.2782729506436	20.0	0.0	1020	310620	-123.67012679515874	-4.723665897743195
2829.006222009659	31	-123.06277276543209	-4.497159316756894	56.21745766270378	-21.02194562262079	-380.06655147587463	20.0	0.0	1020	320640	-104.92396074405097	-4.005206217414971
2917.2861692905426	32	-118.66242023965353	-4.487356505388437	56.34257786276274	-26.830286229909667	-346.04922907581124	20.0	0.0	1020	330660	-91.73924054357065	-3.7583128180185255
3005.363940477371	33	-111.70429785959644	-4.45002280860595	57.84258820539682	-26.61226495229831	-384.6948898263757	20.0	0.0	1020	340680	-117.70768774509986	-4.329680163587099
3093.056826353073	34	-114.62023980736704	-4.447010462608468	54.29727327321499	-21.34224335330681	-416.85209625648423	20.0	0.0	1020	350700	-119.09867572041952	-4.377891453886145
