Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
219	1681.2380685806274	1000	221000	518.0346865184189	-63.088839351108334	579	221000
220	1687.9000108242035	1000	222000	518.0346865184189	-50.89898360418465	590	222000
221	1694.5656623840332	1000	223000	518.0346865184189	-35.98936864143635	593	223000
222	1701.1889169216156	1000	224000	518.0346865184189	-57.48108772184542	630	224000
223	1707.8276307582855	1000	225000	518.0346865184189	-93.40170559111426	636	225000
224	1714.4794268608093	1000	226000	518.0346865184189	-27.689080151705284	663	226000
225	1721.1282753944397	1000	227000	518.0346865184189	-39.517177262742976	688	227000
226	1727.7868518829346	1000	228000	518.0346865184189	-83.19796828941216	691	228000
227	1734.4220612049103	1000	229000	518.0346865184189	-22.403258924514827	700	229000
228	1741.0538268089294	1000	230000	518.0346865184189	-91.22025525198028	725	230000
229	1747.7045059204102	1000	231000	518.0346865184189	-2938.5607131608213	726	231000
230	1754.334044456482	1000	232000	518.0346865184189	-85.46998618386974	733	232000
231	1761.0016572475433	1000	233000	518.0346865184189	-2948.7689840914422	734	233000
232	1767.6598680019379	1000	234000	518.0346865184189	-2880.0386621914326	735	234000
233	1774.3125486373901	1000	235000	518.0346865184189	-2951.2018693057257	736	235000
234	1780.9657969474792	1000	236000	518.0346865184189	-2817.9366883119305	737	236000
235	1787.6104938983917	1000	237000	518.0346865184189	-3025.259158718698	738	237000
236	1794.2430458068848	1000	238000	518.0346865184189	-2947.331298660393	739	238000
237	1800.895525932312	1000	239000	518.0346865184189	-2958.5067193766063	740	239000
238	1807.5468554496765	1000	240000	518.0346865184189	-2158.171564129891	741	240000
239	1814.201632976532	1000	241000	518.0346865184189	-2931.1991350009403	742	241000
240	1820.8442721366882	1000	242000	518.0346865184189	-2955.5648200172523	743	242000
241	1827.4963688850403	1000	243000	518.0346865184189	-2937.0583331566672	744	243000
242	1834.1502647399902	1000	244000	518.0346865184189	-2907.1431370876344	745	244000
243	1840.8131778240204	1000	245000	518.0346865184189	-171.97426575456717	747	245000
244	1847.467201948166	1000	246000	518.0346865184189	-2927.520030985276	748	246000
245	1854.1248199939728	1000	247000	518.0346865184189	-2981.309566270444	749	247000
246	1860.772161245346	1000	248000	518.0346865184189	-1394.905753440206	751	248000
247	1867.4302246570587	1000	249000	518.0346865184189	-2978.947975006701	752	249000
248	1874.085188627243	1000	250000	518.0346865184189	-2945.18219082468	753	250000
249	1880.7462844848633	1000	251000	518.0346865184189	-2970.45642627209	754	251000
250	1887.3993484973907	1000	252000	518.0346865184189	-2963.744474483693	755	252000
251	1894.0456023216248	1000	253000	518.0346865184189	-3010.5631816930377	756	253000
252	1900.6999049186707	1000	254000	518.0346865184189	-2996.864941362917	757	254000
253	1907.359385251999	1000	255000	518.0346865184189	-3000.3516094941324	758	255000
254	1914.0153002738953	1000	256000	518.0346865184189	-2993.6498193469674	759	256000
255	1920.6689140796661	1000	257000	518.0346865184189	-2989.7173146073906	760	257000
256	1927.3386754989624	1000	258000	518.0346865184189	-2998.353639281339	761	258000
257	1933.9898517131805	1000	259000	518.0346865184189	-2999.9504005974163	762	259000
258	1940.6559491157532	1000	260000	518.0346865184189	-2996.714686779213	763	260000
259	1947.3120560646057	1000	261000	518.0346865184189	-3003.6808161366625	764	261000
260	1953.969390153885	1000	262000	518.0346865184189	-2993.200710772256	765	262000
261	1960.614425420761	1000	263000	518.0346865184189	-3070.083396912019	766	263000
262	1967.2614920139313	1000	264000	518.0346865184189	-3016.507630288834	767	264000
263	1973.9018852710724	1000	265000	518.0346865184189	-324.9000018300305	771	265000
264	1980.54775929451	1000	266000	518.0346865184189	-220.75816248576484	775	266000
265	1987.2001490592957	1000	267000	518.0346865184189	-730.155178971523	782	267000
266	1993.8424167633057	1000	268000	518.0346865184189	-2964.2210008469574	783	268000
267	2000.4977531433105	1000	269000	518.0346865184189	-339.62907715712333	789	269000
268	2007.1477706432343	1000	270000	518.0346865184189	-33.96394905828794	791	270000
269	2013.8061366081238	1000	271000	518.0346865184189	-72.96828693110824	800	271000
270	2020.462969303131	1000	272000	518.0346865184189	-2944.7321467402176	801	272000
271	2027.1247653961182	1000	273000	518.0346865184189	-38.583362284157545	806	273000
272	2033.7744135856628	1000	274000	518.0346865184189	-55.692161624015924	812	274000
273	2040.4228365421295	1000	275000	518.0346865184189	-207.54015402561262	818	275000
274	2047.0715916156769	1000	276000	518.0346865184189	-112.7232525620103	824	276000
275	2053.714521884918	1000	277000	518.0346865184189	-286.40624454390525	828	277000
276	2060.3585250377655	1000	278000	518.0346865184189	-68.19061292153397	833	278000
277	2067.005439519882	1000	279000	518.0346865184189	-2948.693705613616	834	279000
278	2073.6436870098114	1000	280000	518.0346865184189	-41.833242019209436	839	280000
279	2080.27610039711	1000	281000	518.0346865184189	-464.08842850764154	842	281000
280	2086.9165880680084	1000	282000	518.0346865184189	-423.2098707253688	849	282000
281	2093.567045211792	1000	283000	518.0346865184189	-68.07857235214999	853	283000
282	2100.217694759369	1000	284000	518.0346865184189	-556.6496828868118	857	284000
283	2106.859381198883	1000	285000	518.0346865184189	-2953.0445983848253	858	285000
284	2113.501167535782	1000	286000	518.0346865184189	-2924.5862244425407	859	286000
285	2120.1318604946136	1000	287000	518.0346865184189	-372.9954798662365	864	287000
286	2126.7566344738007	1000	288000	518.0346865184189	-235.8804255726402	865	288000
287	2133.3971779346466	1000	289000	518.0346865184189	-85.82145925388599	872	289000
288	2140.1627326011658	1000	290000	518.0346865184189	-65.51820767691461	875	290000
289	2147.0729134082794	1000	291000	518.0346865184189	-185.8306594980941	877	291000
290	2153.7284450531006	1000	292000	518.0346865184189	-2870.1009485852505	878	292000
291	2160.3840396404266	1000	293000	518.0346865184189	-263.10530208153915	880	293000
292	2167.042398929596	1000	294000	518.0346865184189	-2919.1967746442015	881	294000
293	2173.68176984787	1000	295000	518.0346865184189	-241.7587242758603	884	295000
294	2180.3325979709625	1000	296000	518.0346865184189	-2896.279472917835	885	296000
295	2186.9906673431396	1000	297000	518.0346865184189	-787.8445661955624	888	297000
296	2193.6357402801514	1000	298000	518.0346865184189	-642.5882438372371	890	298000
297	2200.2928252220154	1000	299000	518.0346865184189	-570.5774334585317	893	299000
298	2206.95476770401	1000	300000	518.0346865184189	-1137.3978567906952	895	300000
299	2213.828464984894	1000	301000	518.0346865184189	-417.24466959301094	900	301000
300	2223.3150069713593	1000	302000	518.0346865184189	-19.764708902926856	901	302000
301	2230.5411925315857	1000	303000	518.0346865184189	-1514.3364963082126	903	303000
302	2237.784289598465	1000	304000	518.0346865184189	-1544.3444985746778	904	304000
303	2244.9967515468597	1000	305000	518.0346865184189	-2952.449252890782	905	305000
304	2252.2343957424164	1000	306000	518.0346865184189	-2967.060591000865	906	306000
305	2259.4998157024384	1000	307000	518.0346865184189	-221.70797874334258	910	307000
306	2266.7699451446533	1000	308000	518.0346865184189	-898.8581912439336	913	308000
307	2274.0099091529846	1000	309000	518.0346865184189	-237.3211163616017	916	309000
308	2281.2258665561676	1000	310000	518.0346865184189	-2798.1869718566672	917	310000
309	2288.4218604564667	1000	311000	518.0346865184189	-2901.2816252410876	918	311000
310	2295.63369512558	1000	312000	518.0346865184189	-64.47301098712825	921	312000
311	2302.844209909439	1000	313000	518.0346865184189	-2876.686648684094	922	313000
312	2309.8455901145935	1000	314000	518.0346865184189	-64.04647617455643	924	314000
313	2316.7220437526703	1000	315000	518.0346865184189	-2903.2159460473094	925	315000
314	2323.588947534561	1000	316000	518.0346865184189	-77.1024969983356	928	316000
315	2330.4492955207825	1000	317000	518.0346865184189	-74.66412591143825	931	317000
316	2337.3172478675842	1000	318000	518.0346865184189	-2903.0247640288767	932	318000
317	2344.186794281006	1000	319000	518.0346865184189	-2948.6190200328315	933	319000
318	2351.052816390991	1000	320000	518.0346865184189	-213.6323422781679	939	320000
319	2357.9186193943024	1000	321000	518.0346865184189	-2874.4544431833474	940	321000
320	2364.7663264274597	1000	322000	518.0346865184189	-239.50579964315145	943	322000
321	2371.630206823349	1000	323000	518.0346865184189	-88.15905241660067	948	323000
322	2378.5008029937744	1000	324000	518.0346865184189	-2867.710298109285	949	324000
323	2385.344403743744	1000	325000	518.0346865184189	-146.8018120804997	964	325000
324	2392.2020077705383	1000	326000	518.0346865184189	-165.46318369163055	980	326000
325	2399.073732852936	1000	327000	518.0346865184189	-131.5259997811381	987	327000
326	2405.9407017230988	1000	328000	518.0346865184189	-2954.433162118195	988	328000
327	2412.808252811432	1000	329000	518.0346865184189	-803.425492599564	989	329000
328	2419.6687405109406	1000	330000	518.0346865184189	-330.7747568381597	994	330000
329	2426.536779642105	1000	331000	518.0346865184189	-1601.2510314834662	995	331000
330	2433.379452228546	1000	332000	518.0346865184189	-303.5868446990619	1002	332000
331	2440.244985103607	1000	333000	518.0346865184189	-2893.827527602015	1003	333000
332	2447.108178138733	1000	334000	518.0346865184189	-2983.1639795161927	1004	334000
333	2453.9566106796265	1000	335000	518.0346865184189	-2942.41476387075	1005	335000
